1,1,3,1
7,1,1,1
3,2,1,1
7,1,3,1
9,1,1,1
18,1,1,1
12,1,3,1
13,1,1,1
4,1,1,1
12,1,1,1
15,2,1,1
17,1,3,1
19,1,1,1
10,1,3,1
15,1,1,1
17,1,1,1
20,1,1,1
10,2,3,1
12,2,1,1
14,1,3,1
14,1,1,1
5,1,3,1
8,1,1,1
6,1,3,1
5,1,1,1
10,1,1,1
16,1,1,1
9,1,3,1
5,2,1,1
15,1,3,1
3,1,3,1
4,1,3,1
2,2,1,1
6,1,1,1
1,2,1,1
8,1,3,1
13,1,3,1
10,2,1,1
16,1,3,1
18,1,3,1
3,1,1,1
9,2,1,1
11,1,1,1
2,1,3,1
4,2,1,1
11,1,3,1
8,2,1,1
6,2,1,1
7,2,1,1
2,1,1,1
11,2,3,1
1,3,1,1
3,2,3,1
1,1,1,1
1,2,3,1
19,1,3,1
6,2,3,1
11,2,1,1
6,3,3,1
8,3,1,1
13,2,1,1
2,2,3,1
14,2,1,1
7,2,3,1
4,2,3,1
